"Cell","Assays"
"TE-15","Fluorescence imaging cell growth inhibition assay"
"TE-5","Fluorescence imaging cell growth inhibition assay"
"TE-6","Fluorescence imaging cell growth inhibition assay"
"TE-8","Fluorescence imaging cell growth inhibition assay"
"TE-9","Fluorescence imaging cell growth inhibition assay"
"BB30-HNC","Fluorescence imaging cell growth inhibition assay"
"BB49-HNC","Fluorescence imaging cell growth inhibition assay"
"LB771-HNC","Fluorescence imaging cell growth inhibition assay"
"D283 Med","Fluorescence imaging cell growth inhibition assay"
"ONS-76","Fluorescence imaging cell growth inhibition assay"
"ChaGo-K-1","Fluorescence imaging cell growth inhibition assay"
"LC-1F","Fluorescence imaging cell growth inhibition assay"
"NCI-H157","Fluorescence imaging cell growth inhibition assay"
"NCI-H226","Fluorescence imaging cell growth inhibition assay"
"NCI-H1385","Fluorescence imaging cell growth inhibition assay"
"NCI-H1770","Fluorescence imaging cell growth inhibition assay"
"Calu-6","Fluorescence imaging cell growth inhibition assay"
"NCI-H2126","Fluorescence imaging cell growth inhibition assay"
"NCI-H1155","Fluorescence imaging cell growth inhibition assay"
"NCI-H1395","Fluorescence imaging cell growth inhibition assay"
"NCI-H1563","Fluorescence imaging cell growth inhibition assay"
"NCI-H1838","Fluorescence imaging cell growth inhibition assay"
"NCI-H1975","Fluorescence imaging cell growth inhibition assay"
"PC-3 [JPC-3]","Fluorescence imaging cell growth inhibition assay"
"RERF-LC-MS","Fluorescence imaging cell growth inhibition assay"
"HOP-62","Fluorescence imaging cell growth inhibition assay"
"LC-2-ad","Fluorescence imaging cell growth inhibition assay"
"LXF-289","Fluorescence imaging cell growth inhibition assay"
"NCI-H1355","Fluorescence imaging cell growth inhibition assay"
"NCI-H1666","Fluorescence imaging cell growth inhibition assay"
"NCI-H322M","Fluorescence imaging cell growth inhibition assay"
"TT","Fluorescence imaging cell growth inhibition assay"
"CGTH-W-1","Fluorescence imaging cell growth inhibition assay"
"K5","Fluorescence imaging cell growth inhibition assay"
"A2780cis","Fluorescence imaging cell growth inhibition assay"
"OVCAR-4","Fluorescence imaging cell growth inhibition assay"
"KURAMOCHI","Fluorescence imaging cell growth inhibition assay"
"DSH1","Fluorescence imaging cell growth inhibition assay"
"LB831-BLC","Fluorescence imaging cell growth inhibition assay"
"CFPAC-1","Fluorescence imaging cell growth inhibition assay"
"PSN1","Fluorescence imaging cell growth inhibition assay"
"SW 1990","Fluorescence imaging cell growth inhibition assay"
"MFH-ino","Fluorescence imaging cell growth inhibition assay"
"A498","Fluorescence imaging cell growth inhibition assay"
"A704","Fluorescence imaging cell growth inhibition assay"
"BB65-RCC","Fluorescence imaging cell growth inhibition assay"
"HA7-RCC","Fluorescence imaging cell growth inhibition assay"
"LB1047-RCC","Fluorescence imaging cell growth inhibition assay"
"LB2241-RCC","Fluorescence imaging cell growth inhibition assay"
"LB996-RCC","Fluorescence imaging cell growth inhibition assay"
"OS-RC-2","Fluorescence imaging cell growth inhibition assay"
"RCC10RGB","Fluorescence imaging cell growth inhibition assay"
"RXF393","Fluorescence imaging cell growth inhibition assay"
"TK10","Fluorescence imaging cell growth inhibition assay"
"ETK-1","Fluorescence imaging cell growth inhibition assay"
"KP-1N","Fluorescence imaging cell growth inhibition assay"
"KP-1NL","Fluorescence imaging cell growth inhibition assay"
"MZ1-PC","Fluorescence imaging cell growth inhibition assay"
"COR-L279","Fluorescence imaging cell growth inhibition assay"
"COR-L51","Fluorescence imaging cell growth inhibition assay"
"COR-L88","Fluorescence imaging cell growth inhibition assay"
"COR-L95","Fluorescence imaging cell growth inhibition assay"
"CPC-N","Fluorescence imaging cell growth inhibition assay"
"DMS 114","Fluorescence imaging cell growth inhibition assay"
"DMS 153","Fluorescence imaging cell growth inhibition assay"
"DMS 79","Fluorescence imaging cell growth inhibition assay"
"HCC-33","Fluorescence imaging cell growth inhibition assay"
"Lu-134-B","Fluorescence imaging cell growth inhibition assay"
"MS-1-L","Fluorescence imaging cell growth inhibition assay"
"NCI-H1092","Fluorescence imaging cell growth inhibition assay"
"NCI-H1417","Fluorescence imaging cell growth inhibition assay"
"NCI-H1436","Fluorescence imaging cell growth inhibition assay"
"NCI-H1522","Fluorescence imaging cell growth inhibition assay"
"NCI-H1618","Fluorescence imaging cell growth inhibition assay"
"NCI-H187","Fluorescence imaging cell growth inhibition assay"
"NCI-H1882","Fluorescence imaging cell growth inhibition assay"
"NCI-H1963","Fluorescence imaging cell growth inhibition assay"
"NCI-H2081","Fluorescence imaging cell growth inhibition assay"
"NCI-H209","Fluorescence imaging cell growth inhibition assay"
"NCI-H2106","Fluorescence imaging cell growth inhibition assay"
"NCI-H211","Fluorescence imaging cell growth inhibition assay"
"NCI-H2141","Fluorescence imaging cell growth inhibition assay"
"NCI-H2171","Fluorescence imaging cell growth inhibition assay"
"NCI-H220","Fluorescence imaging cell growth inhibition assay"
"NCI-H2227","Fluorescence imaging cell growth inhibition assay"
"NCI-H345","Fluorescence imaging cell growth inhibition assay"
"NCI-H446","Fluorescence imaging cell growth inhibition assay"
"NCI-H510A","Fluorescence imaging cell growth inhibition assay"
"NCI-H524","Fluorescence imaging cell growth inhibition assay"
"NCI-H526","Fluorescence imaging cell growth inhibition assay"
"NCI-H69","Fluorescence imaging cell growth inhibition assay"
"NCI-H719","Fluorescence imaging cell growth inhibition assay"
"NCI-H748","Fluorescence imaging cell growth inhibition assay"
"NCI-H82","Fluorescence imaging cell growth inhibition assay"
"NCI-H847","Fluorescence imaging cell growth inhibition assay"
"NCI-H889","Fluorescence imaging cell growth inhibition assay"
"SBC-1","Fluorescence imaging cell growth inhibition assay"
"SBC-2","Fluorescence imaging cell growth inhibition assay"
"COLO-668","Fluorescence imaging cell growth inhibition assay"
"IST-SL1","Fluorescence imaging cell growth inhibition assay"
"IST-SL2","Fluorescence imaging cell growth inhibition assay"
"LB647-SCLC","Fluorescence imaging cell growth inhibition assay"
"LU-134-A","Fluorescence imaging cell growth inhibition assay"
"LU-139","Fluorescence imaging cell growth inhibition assay"
"LU-165","Fluorescence imaging cell growth inhibition assay"
"NCI-H64","Fluorescence imaging cell growth inhibition assay"
"SW982","Fluorescence imaging cell growth inhibition assay"
"GCIY","Fluorescence imaging cell growth inhibition assay"
"TGBC11TKB","Fluorescence imaging cell growth inhibition assay"
"GT3TKB","Fluorescence imaging cell growth inhibition assay"
"RF-48","Fluorescence imaging cell growth inhibition assay"
"ECC10","Fluorescence imaging cell growth inhibition assay"
"NEC8","Fluorescence imaging cell growth inhibition assay"
"NTERA-S-cl-D1","Fluorescence imaging cell growth inhibition assay"
"Tera-1","Fluorescence imaging cell growth inhibition assay"
"NCI-H1404","Fluorescence imaging cell growth inhibition assay"
"YT","Fluorescence imaging cell growth inhibition assay"
"CCRF-HSB-2","Fluorescence imaging cell growth inhibition assay"
"VAL","Fluorescence imaging cell growth inhibition assay"
"SU-DHL-1","Fluorescence imaging cell growth inhibition assay"
"SUP-M2","Fluorescence imaging cell growth inhibition assay"
"SC-1","Fluorescence imaging cell growth inhibition assay"
"VA-ES-BJ","Fluorescence imaging cell growth inhibition assay"
"MC116","Fluorescence imaging cell growth inhibition assay"
"JM1","Fluorescence imaging cell growth inhibition assay"
"BC-3","Fluorescence imaging cell growth inhibition assay"
"HT","Fluorescence imaging cell growth inhibition assay"
"RC-K8","Fluorescence imaging cell growth inhibition assay"
"Sci-1","Fluorescence imaging cell growth inhibition assay"
"SLVL","Fluorescence imaging cell growth inhibition assay"
"TK","Fluorescence imaging cell growth inhibition assay"
"WSU-NHL","Fluorescence imaging cell growth inhibition assay"
"BC-1","Fluorescence imaging cell growth inhibition assay"
"BC-2","Fluorescence imaging cell growth inhibition assay"
"IM-9","Fluorescence imaging cell growth inhibition assay"
"JSC-1","Fluorescence imaging cell growth inhibition assay"
"BE(2)-M17","Fluorescence imaging cell growth inhibition assay"
"CHP-126","Fluorescence imaging cell growth inhibition assay"
"GOTO","Fluorescence imaging cell growth inhibition assay"
"MHH-NB-11","Fluorescence imaging cell growth inhibition assay"
"NB(TU)1-10","Fluorescence imaging cell growth inhibition assay"
"NB-1","Fluorescence imaging cell growth inhibition assay"
"NH-12","Fluorescence imaging cell growth inhibition assay"
"SIMA","Fluorescence imaging cell growth inhibition assay"
"SK-N-BE(2)","Fluorescence imaging cell growth inhibition assay"
"SK-N-FI","Fluorescence imaging cell growth inhibition assay"
"ACN","Fluorescence imaging cell growth inhibition assay"
"GI-ME-N","Fluorescence imaging cell growth inhibition assay"
"IMR-5","Fluorescence imaging cell growth inhibition assay"
"KP-N-YN","Fluorescence imaging cell growth inhibition assay"
"KP-N-YS","Fluorescence imaging cell growth inhibition assay"
"LAN-5","Fluorescence imaging cell growth inhibition assay"
"LAN-6","Fluorescence imaging cell growth inhibition assay"
"NB10","Fluorescence imaging cell growth inhibition assay"
"NB12","Fluorescence imaging cell growth inhibition assay"
"NB13","Fluorescence imaging cell growth inhibition assay"
"NB14","Fluorescence imaging cell growth inhibition assay"
"NB16","Fluorescence imaging cell growth inhibition assay"
"NB5","Fluorescence imaging cell growth inhibition assay"
"NB6","Fluorescence imaging cell growth inhibition assay"
"NB7","Fluorescence imaging cell growth inhibition assay"
"NBsusSR","Fluorescence imaging cell growth inhibition assay"
"HuT 78","Fluorescence imaging cell growth inhibition assay"
"Hs 445","Fluorescence imaging cell growth inhibition assay"
"HDLM-2","Fluorescence imaging cell growth inhibition assay"
"HD-MY-Z","Fluorescence imaging cell growth inhibition assay"
"KM-H2","Fluorescence imaging cell growth inhibition assay"
"L-1236","Fluorescence imaging cell growth inhibition assay"
"L-428","Fluorescence imaging cell growth inhibition assay"
"L-540","Fluorescence imaging cell growth inhibition assay"
"RPMI 6666","Fluorescence imaging cell growth inhibition assay"
"SUP-HD1","Fluorescence imaging cell growth inhibition assay"
"2B8","Fluorescence imaging cell growth inhibition assay"
"BL-70","Fluorescence imaging cell growth inhibition assay"
"CA46","Fluorescence imaging cell growth inhibition assay"
"Daudi","Fluorescence imaging cell growth inhibition assay"
"DG-75","Fluorescence imaging cell growth inhibition assay"
"Jiyoye","Fluorescence imaging cell growth inhibition assay"
"NAMALWA","Fluorescence imaging cell growth inhibition assay"
"P32/ISH","Fluorescence imaging cell growth inhibition assay"
"P3HR-1","Fluorescence imaging cell growth inhibition assay"
"Raji","Fluorescence imaging cell growth inhibition assay"
"ST486","Fluorescence imaging cell growth inhibition assay"
"Ramos-2G6-4C10","Fluorescence imaging cell growth inhibition assay"
"BL-41","Fluorescence imaging cell growth inhibition assay"
"NAMALWA.PNT","Fluorescence imaging cell growth inhibition assay"
"EB1","Fluorescence imaging cell growth inhibition assay"
"EB2","Fluorescence imaging cell growth inhibition assay"
"EB-3","Fluorescence imaging cell growth inhibition assay"
"A253","Fluorescence imaging cell growth inhibition assay"
"GA-10 (Clone 20)","Fluorescence imaging cell growth inhibition assay"
"HS-Sultan","Fluorescence imaging cell growth inhibition assay"
"H33HJ-JA1","Fluorescence imaging cell growth inhibition assay"
"J.gamma1","Fluorescence imaging cell growth inhibition assay"
"J.gamma1.WT","Fluorescence imaging cell growth inhibition assay"
"KY821A3","Fluorescence imaging cell growth inhibition assay"
"ARH-77","Fluorescence imaging cell growth inhibition assay"
"EJM","Fluorescence imaging cell growth inhibition assay"
"KMS-12-BM","Fluorescence imaging cell growth inhibition assay"
"KMS-12-PE","Fluorescence imaging cell growth inhibition assay"
"L-363","Fluorescence imaging cell growth inhibition assay"
"LP-1","Fluorescence imaging cell growth inhibition assay"
"MOLP-8","Fluorescence imaging cell growth inhibition assay"
"OPM-2","Fluorescence imaging cell growth inhibition assay"
"RPMI 8226","Fluorescence imaging cell growth inhibition assay"
"U266B1","Fluorescence imaging cell growth inhibition assay"
"SK-MM-2","Fluorescence imaging cell growth inhibition assay"
"JJN-3","Fluorescence imaging cell growth inhibition assay"
"KARPAS-620","Fluorescence imaging cell growth inhibition assay"
"EKVX","Fluorescence imaging cell growth inhibition assay"
"Eos-HL-60","Fluorescence imaging cell growth inhibition assay"
"HL60RG","Fluorescence imaging cell growth inhibition assay"
"NC-37","Fluorescence imaging cell growth inhibition assay"
"NCI-H1304","Fluorescence imaging cell growth inhibition assay"
"ALL-SIL","Fluorescence imaging cell growth inhibition assay"
"JKT-beta-del","Fluorescence imaging cell growth inhibition assay"
"MOLT-14","Fluorescence imaging cell growth inhibition assay"
"PEER","Fluorescence imaging cell growth inhibition assay"
"TUR","Fluorescence imaging cell growth inhibition assay"
"NGP","KiNativ kinase-small molecule binding assay"
"BCWM.1","KiNativ kinase-small molecule binding assay"
"HCC515","L1000 mRNA profiling assay"
"HA1E","L1000 mRNA profiling assay"
"HeLa ICRP","Fluorescence imaging apoptosis assay"
"HeLa ICRP Bcl-2-mCherry","Fluorescence imaging apoptosis assay"
"HeLa ICRP Bcl-XL-mCherry","Fluorescence imaging apoptosis assay"
"HeLa ICRP FLIP-L-mCherry","Fluorescence imaging apoptosis assay"
"HeLa ICRP FLIP-S-mCherry","Fluorescence imaging apoptosis assay"
"ASC","L1000 mRNA profiling assay"
"CD34","L1000 mRNA profiling assay"
"HUVEC","L1000 mRNA profiling assay"
"JURKAT","L1000 mRNA profiling assay"
"SKL","L1000 mRNA profiling assay"
"MCF 10A-H2B-mCherry","Fluorescence imaging cell viability assay"
